Timestamp,MasterPos,Pos,Velo,Current,TrackingDeviat,FeedbackCurrent,UserCurrentLimit
2019-11-04T15:48:34.309,2.0e-1,-4.0e-2,99.81,272,0.0,287,100.0
2019-11-04T15:48:34.310,3.0e-1,6.0e-2,98.68,273,0.0,287,100.0
2019-11-04T15:48:34.311,4.0e-1,1.6e-1,100.9,273,0.0,296,100.0
2019-11-04T15:48:34.312,5.0e-1,2.6e-1,99.57,277,0.0,272,100.0
2019-11-04T15:48:34.313,6.0e-1,3.6e-1,99.84,270,0.0,284,100.0
2019-11-04T15:48:34.314,7.0e-1,4.6e-1,100.99,270,0.0,279,100.0
2019-11-04T15:48:34.315,8.0e-1,5.6e-1,100.13,270,0.0,272,100.0
2019-11-04T15:48:34.316,9.0e-1,6.6e-1,102.32,265,0.0,283,100.0
2019-11-04T15:48:34.317,1.0,7.6e-1,101.43,262,0.0,215,100.0
2019-11-04T15:48:34.318,1.1,8.7e-1,101.05,240,0.0,228,100.0
2019-11-04T15:48:34.319,1.2,9.7e-1,100.01,227,0.0,235,100.0
2019-11-04T15:48:34.320,1.3,1.07,99.36,226,0.0,268,100.0
2019-11-04T15:48:34.321,1.4,1.16,99.48,234,0.0,275,100.0
2019-11-04T15:48:34.322,1.5,1.26,98.57,249,0.0,271,100.0
2019-11-04T15:48:34.323,1.6,1.36,99.01,252,0.0,301,100.0
2019-11-04T15:48:34.324,1.7,1.46,98.54,270,0.0,305,100.0
2019-11-04T15:48:34.325,1.8,1.56,97.71,277,0.0,333,100.0
2019-11-04T15:48:34.326,1.9,1.66,101.43,295,0.0,331,100.0
2019-11-04T15:48:34.327,2.0,1.76,101.02,306,0.0,251,100.0
2019-11-04T15:48:34.328,2.1,1.86,100.43,280,0.0,250,100.0
2019-11-04T15:48:34.329,2.2,1.96,99.48,262,0.0,253,100.0
2019-11-04T15:48:34.330,2.3,2.06,100.25,255,0.0,298,100.0
2019-11-04T15:48:34.331,2.4,2.16,102.11,270,0.0,253,100.0
2019-11-04T15:48:34.332,2.5,2.26,100.72,262,0.0,232,100.0
2019-11-04T15:48:34.333,2.6,2.36,100.58,238,0.0,246,100.0
2019-11-04T15:48:34.334,2.7,2.46,99.36,236,0.0,243,100.0
2019-11-04T15:48:34.335,2.8,2.56,100.72,236,0.0,272,100.0
2019-11-04T15:48:34.336,2.9,2.67,101.32,249,0.0,254,100.0
2019-11-04T15:48:34.337,3.0,2.76,98.24,247,0.0,246,100.0
2019-11-04T15:48:34.338,3.1,2.86,98.27,240,0.0,293,100.0
2019-11-04T15:48:34.339,3.2,2.96,97.5,259,0.0,326,100.0
2019-11-04T15:48:34.340,3.3,3.06,100.07,285,0.0,344,100.0
2019-11-04T15:48:34.341,3.4,3.16,99.28,310,0.0,301,100.0
2019-11-04T15:48:34.342,3.5,3.26,98.89,301,0.0,309,100.0
2019-11-04T15:48:34.343,3.6,3.36,99.6,294,0.0,312,100.0
2019-11-04T15:48:34.344,3.7,3.46,99.84,295,0.0,313,100.0
2019-11-04T15:48:34.345,3.8,3.56,102.03,295,0.0,298,100.0
2019-11-04T15:48:34.346,3.9,3.66,100.69,288,0.0,238,100.0
2019-11-04T15:48:34.347,4.0,3.76,100.52,258,0.0,257,100.0
2019-11-04T15:48:34.348,4.1,3.86,100.4,247,0.0,273,100.0
2019-11-04T15:48:34.349,4.2,3.96,101.23,258,0.0,261,100.0
2019-11-04T15:48:34.350,4.3,4.06,102.14,256,0.0,229,100.0
2019-11-04T15:48:34.351,4.4,4.16,99.84,245,0.0,218,100.0
2019-11-04T15:48:34.352,4.5,4.26,99.13,225,0.0,255,100.0
2019-11-04T15:48:34.353,4.6,4.36,99.9,230,0.0,286,100.0
2019-11-04T15:48:34.354,4.7,4.46,98.65,252,0.0,287,100.0
2019-11-04T15:48:34.355,4.8,4.56,100.49,261,0.0,294,100.0
2019-11-04T15:48:34.356,4.9,4.66,97.65,272,0.0,278,100.0
2019-11-04T15:48:34.357,5.0,4.76,98.65,267,0.0,331,100.0
2019-11-04T15:48:34.358,5.1,4.86,98.77,287,0.0,337,100.0
2019-11-04T15:48:34.359,5.2,4.96,100.16,303,0.0,336,100.0
2019-11-04T15:48:34.360,5.3,5.06,101.32,312,0.0,293,100.0
2019-11-04T15:48:34.361,5.4,5.16,100.49,296,0.0,262,100.0
2019-11-04T15:48:34.362,5.5,5.26,101.17,273,0.0,254,100.0
2019-11-04T15:48:34.363,5.6,5.36,100.43,258,0.0,246,100.0
2019-11-04T15:48:34.364,5.7,5.46,101.32,247,0.0,249,100.0
2019-11-04T15:48:34.365,5.8,5.56,102.03,245,0.0,229,100.0
2019-11-04T15:48:34.366,5.9,5.67,100.49,241,0.0,224,100.0
2019-11-04T15:48:34.367,6.0,5.77,100.9,226,0.0,238,100.0
2019-11-04T15:48:34.368,6.1,5.86,98.33,229,0.0,247,100.0
2019-11-04T15:48:34.369,6.2,5.96,99.6,232,0.0,300,100.0
2019-11-04T15:48:34.370,6.3,6.06,98.83,262,0.0,290,100.0
2019-11-04T15:48:34.371,6.4,6.16,99.33,272,0.0,304,100.0
2019-11-04T15:48:34.372,6.5,6.26,99.33,277,0.0,301,100.0
2019-11-04T15:48:34.373,6.6,6.36,97.97,281,0.0,315,100.0
2019-11-04T15:48:34.374,6.7,6.46,99.66,285,0.0,342,100.0
2019-11-04T15:48:34.375,6.8,6.56,100.69,305,0.0,294,100.0
2019-11-04T15:48:34.376,6.9,6.66,100.28,295,0.0,282,100.0
