Timestamp,MasterPos,Pos,Velo,Current,TrackingDeviat,FeedbackCurrent,UserCurrentLimit
2019-10-28T02:28:20,1.0e-1,-1.4e-1,99.01,214,0.0,253,100.0
2019-10-28T02:28:21,2.0e-1,-4.0e-2,101.11,227,0.0,261,100.0
2019-10-28T02:28:22,3.0e-1,6.0e-2,100.16,240,0.0,225,100.0
2019-10-28T02:28:23,4.0e-1,1.6e-1,100.25,227,0.0,225,100.0
2019-10-28T02:28:24,5.0e-1,2.6e-1,98.74,219,0.0,229,100.0
2019-10-28T02:28:25,6.0e-1,3.6e-1,100.22,219,0.0,260,100.0
2019-10-28T02:28:26,7.0e-1,4.6e-1,100.81,232,0.0,243,100.0
2019-10-28T02:28:27,8.0e-1,5.6e-1,100.61,232,0.0,207,100.0
2019-10-28T02:28:28,9.0e-1,6.6e-1,99.54,211,0.0,224,100.0
2019-10-28T02:28:29,1.0,7.6e-1,99.51,211,0.0,235,100.0
2019-10-28T02:28:30,1.1,8.6e-1,99.78,215,0.0,242,100.0
2019-10-28T02:28:31,1.2,9.7e-1,101.64,222,0.0,231,100.0
2019-10-28T02:28:32,1.3,1.06,98.6,223,0.0,211,100.0
2019-10-28T02:28:33,1.4,1.16,98.95,211,0.0,251,100.0
2019-10-28T02:28:34,1.5,1.26,98.21,222,0.0,265,100.0
2019-10-28T02:28:35,1.6,1.36,101.58,236,0.0,275,100.0
2019-10-28T02:28:36,1.7,1.46,99.33,251,0.0,225,100.0
2019-10-28T02:28:37,1.8,1.56,97.95,236,0.0,247,100.0
2019-10-28T02:28:38,1.9,1.66,99.78,233,0.0,284,100.0
2019-10-28T02:28:39,2.0,1.76,99.04,252,0.0,271,100.0
2019-10-28T02:28:40,2.1,1.86,101.46,259,0.0,273,100.0
2019-10-28T02:28:41,2.2,1.96,100.16,266,0.0,215,100.0
2019-10-28T02:28:42,2.3,2.06,98.63,244,0.0,236,100.0
2019-10-28T02:28:43,2.4,2.16,99.78,233,0.0,279,100.0
2019-10-28T02:28:44,2.5,2.26,100.19,249,0.0,275,100.0
2019-10-28T02:28:45,2.6,2.36,101.61,256,0.0,240,100.0
2019-10-28T02:28:46,2.7,2.46,99.9,248,0.0,209,100.0
2019-10-28T02:28:47,2.8,2.56,99.28,222,0.0,242,100.0
2019-10-28T02:28:48,2.9,2.66,98.0,223,1.0e-2,267,100.0
2019-10-28T02:28:49,3.0,2.76,97.86,240,1.0e-2,304,100.0
2019-10-28T02:28:50,3.1,2.86,100.49,259,1.0e-2,305,100.0
2019-10-28T02:28:51,3.2,2.95,98.39,283,1.0e-2,279,100.0
2019-10-28T02:28:52,3.3,3.05,97.71,274,1.0e-2,318,100.0
2019-10-28T02:28:53,3.4,3.15,99.22,284,1.0e-2,318,100.0
2019-10-28T02:28:54,3.5,3.25,99.57,295,1.0e-2,315,100.0
2019-10-28T02:28:55,3.6,3.35,101.43,298,1.0e-2,290,100.0
2019-10-28T02:28:56,3.7,3.45,100.13,288,1.0e-2,267,100.0
2019-10-28T02:28:57,3.8,3.55,100.58,269,1.0e-2,271,100.0
2019-10-28T02:28:58,3.9,3.65,100.13,263,1.0e-2,253,100.0
2019-10-28T02:28:59,4.0,3.75,100.25,254,1.0e-2,264,100.0
2019-10-28T02:29:00,4.1,3.85,101.35,254,1.0e-2,264,100.0
2019-10-28T02:29:01,4.2,3.95,100.22,261,1.0e-2,232,100.0
2019-10-28T02:29:02,4.3,4.06,100.34,243,1.0e-2,260,100.0
2019-10-28T02:29:03,4.4,4.15,98.92,244,1.0e-2,258,100.0
2019-10-28T02:29:04,4.5,4.25,99.99,245,1.0e-2,300,100.0
2019-10-28T02:29:05,4.6,4.35,99.93,265,1.0e-2,290,100.0
2019-10-28T02:29:06,4.7,4.45,99.54,270,1.0e-2,280,100.0
2019-10-28T02:29:07,4.8,4.55,98.33,266,1.0e-2,304,100.0
2019-10-28T02:29:08,4.9,4.65,97.44,274,1.0e-2,319,100.0
2019-10-28T02:29:09,5.0,4.75,98.89,285,1.0e-2,366,100.0
2019-10-28T02:29:10,5.1,4.85,101.58,317,1.0e-2,327,100.0
2019-10-28T02:29:11,5.2,4.95,101.55,320,1.0e-2,257,100.0
2019-10-28T02:29:12,5.3,5.05,100.81,283,1.0e-2,254,100.0
2019-10-28T02:29:13,5.4,5.15,99.66,262,1.0e-2,257,100.0
2019-10-28T02:29:14,5.5,5.25,101.91,254,1.0e-2,279,100.0
2019-10-28T02:29:15,5.6,5.36,101.55,266,1.0e-2,236,100.0
2019-10-28T02:29:16,5.7,5.46,100.34,249,1.0e-2,239,100.0
2019-10-28T02:29:17,5.8,5.56,99.9,237,1.0e-2,249,100.0
2019-10-28T02:29:18,5.9,5.66,99.6,240,1.0e-2,276,100.0
2019-10-28T02:29:19,6.0,5.76,100.75,247,1.0e-2,283,100.0
2019-10-28T02:29:20,6.1,5.86,100.55,262,1.0e-2,260,100.0
2019-10-28T02:29:21,6.2,5.95,98.54,256,1.0e-2,276,100.0
2019-10-28T02:29:22,6.3,6.05,99.25,258,1.0e-2,294,100.0
2019-10-28T02:29:23,6.4,6.15,99.1,270,1.0e-2,315,100.0
2019-10-28T02:29:24,6.5,6.25,100.13,283,1.0e-2,307,100.0
2019-10-28T02:29:25,6.6,6.35,98.24,292,1.0e-2,296,100.0
2019-10-28T02:29:26,6.7,6.45,98.65,287,1.0e-2,334,100.0
2019-10-28T02:29:27,6.8,6.55,99.87,299,1.0e-2,338,100.0
2019-10-28T02:29:28,6.9,6.65,100.93,309,1.0e-2,319,100.0
2019-10-28T02:29:29,7.0,6.75,102.59,302,1.0e-2,278,100.0
2019-10-28T02:29:30,7.1,6.85,100.34,285,1.0e-2,239,100.0
2019-10-28T02:29:31,7.2,6.96,101.08,252,1.0e-2,260,100.0
2019-10-28T02:29:32,7.3,7.06,100.72,248,1.0e-2,246,100.0
2019-10-28T02:29:33,7.4,7.16,102.44,247,0.0,243,100.0
2019-10-28T02:29:34,7.5,7.26,100.99,247,0.0,221,100.0
2019-10-28T02:29:35,7.6,7.36,99.33,234,0.0,244,100.0
2019-10-28T02:29:36,7.7,7.46,99.16,232,0.0,284,100.0
2019-10-28T02:29:37,7.8,7.56,98.98,252,1.0e-2,305,100.0
2019-10-28T02:29:38,7.9,7.66,99.66,274,1.0e-2,307,100.0
2019-10-28T02:29:39,8.0,7.76,100.4,278,1.0e-2,291,100.0
2019-10-28T02:29:40,8.1,7.85,98.18,277,1.0e-2,286,100.0
2019-10-28T02:29:41,8.2,7.95,99.04,272,1.0e-2,330,100.0
2019-10-28T02:29:42,8.3,8.05,98.51,295,1.0e-2,329,100.0
2019-10-28T02:29:43,8.4,8.15,101.4,305,1.0e-2,315,100.0
