Timestamp,MasterPos,Pos,Velo,Current,TrackingDeviat,FeedbackCurrent,UserCurrentLimit
2019-10-28T03:35:20,0.0,-2.4e-1,98.92,208,0.0,222,100.0
2019-10-28T03:35:21,1.0e-1,-1.4e-1,99.04,212,0.0,247,100.0
2019-10-28T03:35:22,2.0e-1,-4.0e-2,101.35,225,0.0,262,100.0
2019-10-28T03:35:23,3.0e-1,6.0e-2,100.61,240,0.0,197,100.0
2019-10-28T03:35:24,4.0e-1,1.6e-1,100.22,219,0.0,213,100.0
2019-10-28T03:35:25,5.0e-1,2.6e-1,98.89,205,0.0,211,100.0
2019-10-28T03:35:26,6.0e-1,3.6e-1,100.37,205,0.0,247,100.0
2019-10-28T03:35:27,7.0e-1,4.6e-1,101.02,220,0.0,224,100.0
2019-10-28T03:35:28,8.0e-1,5.6e-1,100.07,218,0.0,199,100.0
2019-10-28T03:35:29,9.0e-1,6.6e-1,98.95,200,0.0,204,100.0
2019-10-28T03:35:30,1.0,7.6e-1,99.13,196,0.0,244,100.0
2019-10-28T03:35:31,1.1,8.6e-1,100.37,208,0.0,271,100.0
2019-10-28T03:35:32,1.2,9.6e-1,101.02,234,0.0,226,100.0
2019-10-28T03:35:33,1.3,1.06,99.36,233,0.0,200,100.0
2019-10-28T03:35:34,1.4,1.16,98.83,211,0.0,235,100.0
2019-10-28T03:35:35,1.5,1.26,98.15,212,0.0,265,100.0
2019-10-28T03:35:36,1.6,1.36,100.31,227,0.0,282,100.0
2019-10-28T03:35:37,1.7,1.46,99.25,249,0.0,243,100.0
2019-10-28T03:35:38,1.8,1.56,99.04,243,0.0,250,100.0
2019-10-28T03:35:39,1.9,1.66,98.86,237,0.0,271,100.0
2019-10-28T03:35:40,2.0,1.76,99.13,247,1.0e-2,279,100.0
2019-10-28T03:35:41,2.1,1.86,100.81,254,1.0e-2,271,100.0
2019-10-28T03:35:42,2.2,1.96,99.93,263,1.0e-2,232,100.0
2019-10-28T03:35:43,2.3,2.06,99.01,251,1.0e-2,254,100.0
2019-10-28T03:35:44,2.4,2.16,100.28,245,1.0e-2,273,100.0
2019-10-28T03:35:45,2.5,2.26,100.46,254,1.0e-2,251,100.0
2019-10-28T03:35:46,2.6,2.36,101.73,247,0.0,233,100.0
2019-10-28T03:35:47,2.7,2.46,99.19,238,0.0,218,100.0
2019-10-28T03:35:48,2.8,2.56,98.71,223,1.0e-2,253,100.0
2019-10-28T03:35:49,2.9,2.66,98.77,229,1.0e-2,290,100.0
2019-10-28T03:35:50,3.0,2.75,98.18,249,1.0e-2,305,100.0
2019-10-28T03:35:51,3.1,2.85,100.64,270,1.0e-2,300,100.0
2019-10-28T03:35:52,3.2,2.95,98.39,284,1.0e-2,261,100.0
2019-10-28T03:35:53,3.3,3.05,98.45,269,1.0e-2,309,100.0
2019-10-28T03:35:54,3.4,3.15,98.51,280,1.0e-2,315,100.0
2019-10-28T03:35:55,3.5,3.25,99.78,291,1.0e-2,326,100.0
2019-10-28T03:35:56,3.6,3.35,101.37,298,1.0e-2,294,100.0
2019-10-28T03:35:57,3.7,3.45,100.69,290,1.0e-2,247,100.0
2019-10-28T03:35:58,3.8,3.55,100.07,259,1.0e-2,251,100.0
2019-10-28T03:35:59,3.9,3.65,99.31,248,1.0e-2,261,100.0
2019-10-28T03:36:00,4.0,3.75,100.37,251,1.0e-2,291,100.0
2019-10-28T03:36:01,4.1,3.85,101.23,262,1.0e-2,286,100.0
2019-10-28T03:36:02,4.2,3.95,100.4,269,1.0e-2,239,100.0
2019-10-28T03:36:03,4.3,4.05,101.14,252,1.0e-2,249,100.0
2019-10-28T03:36:04,4.4,4.15,98.57,244,1.0e-2,242,100.0
2019-10-28T03:36:05,4.5,4.25,98.95,240,1.0e-2,300,100.0
2019-10-28T03:36:06,4.6,4.35,99.96,259,1.0e-2,291,100.0
2019-10-28T03:36:07,4.7,4.45,99.31,273,1.0e-2,305,100.0
2019-10-28T03:36:08,4.8,4.55,99.04,276,1.0e-2,308,100.0
2019-10-28T03:36:09,4.9,4.65,97.56,283,2.0e-2,311,100.0
2019-10-28T03:36:10,5.0,4.75,98.77,285,2.0e-2,345,100.0
2019-10-28T03:36:11,5.1,4.85,101.85,307,1.0e-2,327,100.0
2019-10-28T03:36:12,5.2,4.95,100.22,316,1.0e-2,275,100.0
2019-10-28T03:36:13,5.3,5.05,101.64,290,1.0e-2,280,100.0
2019-10-28T03:36:14,5.4,5.15,100.43,277,1.0e-2,254,100.0
2019-10-28T03:36:15,5.5,5.25,102.26,263,1.0e-2,260,100.0
2019-10-28T03:36:16,5.6,5.35,101.02,262,1.0e-2,214,100.0
2019-10-28T03:36:17,5.7,5.45,100.49,237,1.0e-2,239,100.0
2019-10-28T03:36:18,5.8,5.55,99.42,230,1.0e-2,254,100.0
2019-10-28T03:36:19,5.9,5.65,99.75,238,1.0e-2,283,100.0
2019-10-28T03:36:20,6.0,5.75,101.55,252,1.0e-2,296,100.0
2019-10-28T03:36:21,6.1,5.85,100.13,270,1.0e-2,250,100.0
2019-10-28T03:36:22,6.2,5.95,99.51,256,1.0e-2,253,100.0
2019-10-28T03:36:23,6.3,6.05,98.15,248,1.0e-2,278,100.0
2019-10-28T03:36:24,6.4,6.15,98.77,259,1.0e-2,326,100.0
2019-10-28T03:36:25,6.5,6.25,100.43,284,1.0e-2,325,100.0
2019-10-28T03:36:26,6.6,6.35,98.68,305,1.0e-2,298,100.0
2019-10-28T03:36:27,6.7,6.45,98.95,291,1.0e-2,329,100.0
2019-10-28T03:36:28,6.8,6.55,99.33,296,1.0e-2,327,100.0
2019-10-28T03:36:29,6.9,6.65,100.52,303,1.0e-2,331,100.0
